geo,time,search_contribution,social_contribution,video_contribution,baseline,noise
Region 1,2024-01-01,1664.99869822,1731.69160451,106.72259537,19576.11471021,94.49883462
Region 1,2024-01-08,2356.24721043,1802.09800709,540.40190042,21402.93248847,-351.44102606
Region 1,2024-01-15,1859.83073454,1808.27961958,1479.85771498,21610.06720167,49.48855571
Region 1,2024-01-22,2224.94786031,1436.03433117,1895.84864409,20059.83646785,-235.64315268
Region 1,2024-01-29,2694.61694885,1554.04799559,1551.40582775,20495.78327296,29.71417251
Region 1,2024-02-05,2239.61868568,1806.95965994,1688.06606973,21099.80351441,-17.21250767
Region 1,2024-02-12,2527.46848216,1831.62299301,1818.55409302,19858.94748706,-189.74176555
Region 1,2024-02-19,2105.96943514,1347.34876359,1691.55319118,20145.08207059,309.87573088
Region 1,2024-02-26,1607.62924448,1860.21649040,1591.22957900,20210.91891419,95.43940612
Region 1,2024-03-04,1682.24122395,1553.64116841,1438.22496658,21290.63022482,-246.59872667
Region 1,2024-03-11,2166.78705543,2145.07608691,1837.34504000,20947.05107586,539.16280719
Region 1,2024-03-18,2004.94367242,2135.17628613,1868.17834314,23095.45417856,474.88717364
Region 1,2024-03-25,1084.72412463,1815.63830875,1689.75073540,22521.07677265,-359.50962034
Region 1,2024-04-01,2054.46337282,2764.19713256,2206.38782643,21041.15011931,-656.14657873
Region 1,2024-04-08,2012.39807468,2483.28458314,1987.70824101,20317.03021513,-110.38188211
Region 1,2024-04-15,1091.11731873,2230.97554114,1964.69351556,21717.45537407,-196.24508477
Region 1,2024-04-22,2576.75305575,2020.22744086,1863.74656306,20844.38410885,320.16426021
Region 1,2024-04-29,2307.47350270,1402.94308559,1811.35086834,20683.32922853,-14.07711490
Region 1,2024-05-06,1249.57809228,1800.52120513,1968.24760006,19835.79803109,608.87472232
Region 1,2024-05-13,1403.51707365,1367.29088354,2010.25906337,20297.92977215,-125.25761412
Region 1,2024-05-20,3022.40637053,1648.72729730,1994.53850737,21310.56734426,-242.04179753
Region 1,2024-05-27,2389.46927903,1673.75604322,2076.22606739,20895.60780781,-362.02193379
Region 1,2024-06-03,2686.62630471,1683.05033951,1713.24991117,22167.27969015,144.34678477
Region 1,2024-06-10,2401.03481996,2291.37936978,2047.11228278,20496.89458916,111.23954105
Region 1,2024-06-17,1696.23540751,1880.51487394,1887.73985765,20950.10740221,9.66438479
Region 1,2024-06-24,2937.90793035,1869.29503050,1982.33586522,20968.74922105,-416.62601619
Region 1,2024-07-01,1816.24254860,1451.70867490,2333.24412420,20375.80893572,-719.79605932
Region 1,2024-07-08,1341.46814746,1810.42099482,2314.98137612,21200.30880344,-90.71862961
Region 1,2024-07-15,2254.07590115,2496.68740484,2052.46264908,20734.33965953,400.65304204
Region 1,2024-07-22,2247.96066090,2090.95902417,1830.98037403,19932.73120002,55.77549525
Region 1,2024-07-29,1975.66272283,1938.16517568,1491.61203958,20623.70975445,343.82404799
Region 1,2024-08-05,1685.90908779,2402.68103783,1539.49738846,20035.20930283,-736.82692929
Region 1,2024-08-12,2037.44486881,2149.71230448,1572.55503878,20110.60262094,-169.78008131
Region 1,2024-08-19,1775.63905785,2074.14334288,1461.33328258,20926.24955748,461.82390364
Region 1,2024-08-26,2176.61670085,2180.21652473,1226.30497889,19346.79173452,316.89692966
Region 1,2024-09-02,1754.05236821,2078.16099477,1388.75882517,19963.73167435,-100.63081572
Region 1,2024-09-09,2733.02094500,2330.05290892,1721.83879186,18643.08674958,-220.98296955
Region 1,2024-09-16,1480.37155926,2013.34257977,1765.80422927,19971.99311680,-151.92831438
Region 1,2024-09-23,2917.28501400,1377.92393353,1689.17328548,19545.47347660,246.28893903
Region 1,2024-09-30,2670.42844620,1911.04828843,1544.49062881,18683.29985202,5.31801679
Region 1,2024-10-07,2623.85108845,2076.03168433,1871.04217024,19569.82379683,-209.33077026
Region 1,2024-10-14,2183.00343556,1922.29414343,2155.92147888,19027.97734037,-347.74044796
Region 1,2024-10-21,2006.22582315,2620.05165803,2120.00116186,19277.96140895,1069.49665530
Region 1,2024-10-28,2085.42459322,2351.87900645,1781.05176420,19554.20057667,237.79369980
Region 1,2024-11-04,2315.80104568,1927.02494738,1643.45183009,20008.33555652,515.34104300
Region 1,2024-11-11,2001.04985500,1998.48493796,1846.20913934,20064.55959111,-522.79098683
Region 1,2024-11-18,2287.70114293,2077.06547283,1678.51051521,19665.32170053,-63.96351595
Region 1,2024-11-25,2170.80101535,1770.09993956,1807.85991706,20200.47629607,464.85427858
Region 1,2024-12-02,2023.93173095,1822.33897727,1418.50619225,20916.39850115,55.64973272
Region 1,2024-12-09,1115.30905917,2040.23568336,1616.24094037,20766.29110786,53.85399878
Region 1,2024-12-16,1560.79485549,1770.90919915,2099.43694273,20210.31161956,-598.20831127
Region 1,2024-12-23,1062.32809296,2143.17308534,1805.57400000,20461.29902348,-358.41533022
Region 1,2024-12-30,1452.62450538,1655.93765486,1524.98108847,20815.45776014,30.92377444
Region 1,2025-01-06,1920.45152556,2548.02885302,1428.25496451,21080.48755845,224.58297411
Region 1,2025-01-13,1911.38709978,2270.33449778,1170.18308999,20943.60786753,188.82726551
Region 1,2025-01-20,3182.02718941,2224.19578426,1423.85737316,23103.18828228,2.06069289
Region 1,2025-01-27,3004.12341613,2144.45627464,1758.43184218,20124.40775716,409.10078859
Region 1,2025-02-03,2373.34455895,2202.99114470,1586.15813257,21098.81300279,235.64957011
Region 1,2025-02-10,2339.87469280,1674.65058519,1721.37478528,22109.15354275,-513.26674432
Region 1,2025-02-17,2935.02385216,1127.75015535,1427.27658548,21088.00721922,429.92376211
Region 1,2025-02-24,2545.04149466,2268.58626099,1435.33089119,22757.89209756,556.62128140
Region 1,2025-03-03,2655.82481896,2178.70564186,1571.50194617,23275.61853324,809.54302042
Region 1,2025-03-10,2387.71148694,1772.44126134,1438.81524643,22112.50343263,-896.75015277
Region 1,2025-03-17,2043.37620839,2340.11939839,1760.08246287,21763.10158607,81.85524332
Region 1,2025-03-24,1250.65517164,2661.15705278,1622.53561197,22028.50173715,-486.07859747
Region 1,2025-03-31,2382.86548644,2280.18471674,1381.53425049,21280.94440770,-491.35032691
Region 1,2025-04-07,2487.89662323,2162.34651679,1460.46385135,22578.78946072,-533.94857538
Region 1,2025-04-14,2665.44011631,1575.18101719,2219.09075967,22891.50616160,-249.98298891
Region 1,2025-04-21,2587.43897663,1865.97418920,1919.90153829,22430.03571493,294.08306428
Region 1,2025-04-28,1935.34971839,1719.04026337,1778.64519741,21425.73661040,146.32826898
Region 1,2025-05-05,2355.76684471,1615.67713899,1618.83384665,21638.30110002,335.44448858
Region 1,2025-05-12,1972.47675447,2182.43037796,1988.91670680,23114.31709251,58.12819856
Region 1,2025-05-19,1827.40882824,3023.14005912,1928.80772837,22455.97072110,-259.78809308
Region 1,2025-05-26,2344.33978842,2832.75106841,1834.08964121,22375.83915355,155.19036751
Region 1,2025-06-02,2856.83883075,2252.90646184,2026.75103380,21943.51124277,188.72413849
Region 1,2025-06-09,2731.49434425,2523.37990315,1817.25064985,21757.78043820,-1006.96791430
Region 1,2025-06-16,2305.86098870,2497.91695249,1560.33738198,23642.54411580,357.73887034
Region 1,2025-06-23,2314.10215199,2260.10600436,1501.50871060,19835.70787638,83.30241667
Region 1,2025-06-30,2073.86216513,2177.23626471,1224.92208741,19801.10749365,-790.60899408
Region 1,2025-07-07,1706.90422804,1974.63212309,1070.06529977,22408.61686548,-597.49543718
Region 1,2025-07-14,2260.55470602,2449.09686294,886.39014400,21695.81610892,-385.54554382
