,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_m[Search],0.000408,0.000289,8099.991582,5164.883731,0.999826
alpha_m[Social],0.000511,0.000361,7278.43164,5194.829584,1.00041
alpha_m[Video],0.000423,0.0003,7929.583524,5576.442947,0.999943
"beta_gm[Region 1, Search]",0.003578,0.002545,5359.238819,6571.37276,1.000128
"beta_gm[Region 1, Social]",0.004501,0.003183,6216.974662,6822.287575,1.000183
"beta_gm[Region 1, Video]",0.004382,0.003098,7081.123185,7076.788062,0.999884
"beta_gm[Region 2, Search]",0.003369,0.002424,5221.223187,5148.551993,1.000745
"beta_gm[Region 2, Social]",0.003951,0.002803,6061.78461,6554.733646,1.000541
"beta_gm[Region 2, Video]",0.004286,0.003031,7481.908778,7262.487423,1.000365
"beta_gm[Region 3, Search]",0.003156,0.002251,5931.695565,6144.640864,1.00067
"beta_gm[Region 3, Social]",0.003347,0.002374,7474.966031,7433.695459,1.00005
"beta_gm[Region 3, Video]",0.004461,0.003154,7716.085962,7146.564444,0.999764
"beta_gm[Region 4, Search]",0.004413,0.003157,3007.885043,3932.476252,1.001754
"beta_gm[Region 4, Social]",0.005019,0.003549,4021.265119,5631.513848,1.000545
"beta_gm[Region 4, Video]",0.004317,0.003053,6997.058432,5772.729034,1.000124
beta_m[Search],0.001632,0.001154,4797.076312,5543.158695,1.000422
beta_m[Social],0.002232,0.001578,6337.039052,5905.209951,1.000556
beta_m[Video],0.00193,0.001365,6854.150739,6277.122104,1.000089
ec_m[Search],0.004858,0.003436,2256.570911,2953.3438,1.002421
ec_m[Social],0.006657,0.004707,2928.202377,4006.347412,1.000408
ec_m[Video],0.007373,0.005214,3397.508044,3883.037774,1.000827
eta_m[Search],0.002147,0.001518,3174.587694,3099.738203,1.000909
eta_m[Social],0.003366,0.00238,2916.299601,3352.430665,1.000487
eta_m[Video],0.002508,0.001773,3524.233244,3883.227552,1.000017
gamma_c[demand],0.001189,0.000841,3877.621055,2831.519086,1.001861
gamma_c[price],0.000898,0.00069,3600.82682,2577.042161,1.000776
"gamma_gc[Region 1, demand]",0.000398,0.000282,8062.718373,6312.473272,1.000174
"gamma_gc[Region 1, price]",0.000276,0.000195,7768.945288,7301.964117,1.000297
"gamma_gc[Region 2, demand]",0.000298,0.000212,11892.337633,6344.900047,1.000221
"gamma_gc[Region 2, price]",0.000311,0.00022,6594.322398,6724.992759,0.999746
"gamma_gc[Region 3, demand]",0.000306,0.000217,11955.730986,6253.783186,1.000832
"gamma_gc[Region 3, price]",0.000241,0.00017,9265.650061,7592.521093,1.000245
"gamma_gc[Region 4, demand]",0.000314,0.000223,11864.539581,7001.240037,1.001128
"gamma_gc[Region 4, price]",0.000226,0.00016,10193.773267,7542.671975,1.000148
knot_values[0],0.010795,0.007677,1074.442686,1454.51325,1.006206
knot_values[1],0.01147,0.008157,1045.537966,1418.893549,1.00629
knot_values[2],0.011125,0.007911,1032.083542,1414.800867,1.006291
knot_values[3],0.011242,0.008001,1049.366586,1403.574924,1.006516
knot_values[4],0.011193,0.007962,1029.344272,1422.491869,1.006264
knot_values[5],0.011356,0.008082,1039.363501,1347.047135,1.006384
knot_values[6],0.011345,0.008082,1055.854204,1455.017941,1.006006
knot_values[7],0.014323,0.010639,6402.202775,4979.613902,1.000648
mu_t[2024-01-01],0.010795,0.007677,1074.442686,1454.51325,1.006206
mu_t[2024-01-08],0.010837,0.007707,1063.587408,1424.933851,1.006275
mu_t[2024-01-15],0.01088,0.007737,1053.584525,1403.04464,1.006327
mu_t[2024-01-22],0.010925,0.007768,1045.547005,1403.385003,1.006387
mu_t[2024-01-29],0.01097,0.007799,1038.938195,1404.525782,1.006428
mu_t[2024-02-05],0.011016,0.007832,1033.645142,1380.794133,1.006451
mu_t[2024-02-12],0.011063,0.007865,1029.343883,1361.116876,1.006476
mu_t[2024-02-19],0.011111,0.007899,1026.851997,1415.784986,1.006492
mu_t[2024-02-26],0.01116,0.007934,1025.857208,1413.5629,1.006496
mu_t[2024-03-04],0.011209,0.007969,1026.258798,1411.60528,1.006472
mu_t[2024-03-11],0.01126,0.008005,1027.908957,1396.580133,1.006465
mu_t[2024-03-18],0.011311,0.008042,1030.883383,1376.314662,1.006426
