geo,time,population,demand,price,search_spend,search_impressions,social_spend,social_impressions,video_spend,video_impressions,revenue
Region 1,2024-01-01,160000,0.85261550,0.93507806,457.55442395,38129.53532883,1266.46297450,158307.87181310,102.15564252,20431.12850380,23174.02644292
Region 1,2024-01-08,160000,1.21332638,0.99729454,858.67181903,71555.98491942,788.25171091,98531.46386365,521.09562296,104219.12459123,25750.23858035
Region 1,2024-01-15,160000,1.16296043,0.93310994,371.47214253,30956.01187709,755.30682336,94413.35291952,1897.13207438,379426.41487529,26807.52382648
Region 1,2024-01-22,160000,1.07847864,1.06130335,711.76718674,59313.93222836,319.19848263,39899.81032834,2098.63128036,419726.25607299,25381.02415073
Region 1,2024-01-29,160000,1.08320174,1.01258849,1244.22061917,103685.05159754,637.20215521,79650.26940086,140.48148237,28096.29647454,26325.56821765
Region 1,2024-02-05,160000,1.20599289,1.03731887,555.32336655,46276.94721277,888.79973610,111099.96701200,1260.20905576,252041.81115109,26817.23542208
Region 1,2024-02-12,160000,0.94978946,0.98946314,985.26400118,82105.33343202,784.18540644,98023.17580465,1433.88962606,286777.92521147,25846.85128971
Region 1,2024-02-19,160000,0.95179786,0.95730303,495.79858357,41316.54863111,223.78878005,27973.59750680,737.79126024,147558.25204846,25599.82919138
Region 1,2024-02-26,160000,1.02134895,1.00671429,285.15511389,23762.92615762,1059.39184574,132423.98071771,734.69527255,146939.05451060,25365.43363419
Region 1,2024-03-04,160000,1.13118823,0.96162181,379.91810940,31659.84245038,412.75081139,51593.85142377,592.16091335,118432.18267088,25718.13885708
Region 1,2024-03-11,160000,1.20661667,1.06691195,681.35937082,56779.94756859,1424.32207746,178040.25968307,2051.84972040,410369.94408070,27635.42206540
Region 1,2024-03-18,160000,1.14075559,0.74767270,498.42279975,41535.23331269,1028.49841389,128562.30173625,1296.67531475,259335.06295002,29578.63965388
Region 1,2024-03-25,160000,1.24008243,0.90093135,104.54253662,8711.87805179,533.49577740,66686.97217519,672.02219534,134404.43906710,26751.68032109
Region 1,2024-04-01,160000,1.24686128,1.09334526,641.04355714,53420.29642842,2956.03396970,369504.24621253,3217.99231742,643598.46348349,27410.05187239
Region 1,2024-04-08,160000,1.18987552,1.14027164,520.81986254,43401.65521185,1048.43879345,131054.84918070,728.65304869,145730.60973885,26690.03923185
Region 1,2024-04-15,160000,1.22541175,0.99564748,105.45434380,8787.86198353,874.25148444,109281.43555550,1322.27533056,264455.06611299,26807.99666473
Region 1,2024-04-22,160000,1.18728171,1.07627735,1173.77229533,97814.35794420,753.70180816,94212.72602053,982.75593360,196551.18672099,27625.27542873
Region 1,2024-04-29,160000,1.10349260,1.03137793,656.57422370,54714.51864174,150.09182389,18761.47798587,1122.42920516,224485.84103291,26191.01957026
Region 1,2024-05-06,160000,1.04997121,1.09650222,108.06491409,9005.40950759,954.24341310,119280.42663752,1806.93772920,361387.54584027,25463.01965088
Region 1,2024-05-13,160000,1.05961259,1.04844885,286.57812214,23881.51017801,258.87915363,32359.89420322,1565.92154133,313184.30826586,24953.73917859
Region 1,2024-05-20,160000,1.15972129,1.00395612,2149.07063093,179089.21924385,785.99165602,98248.95700311,1506.56328817,301312.65763346,27734.19772192
Region 1,2024-05-27,160000,1.04126783,0.96306329,542.14965664,45179.13805317,674.58591126,84323.23890764,1795.69041295,359138.08259099,26673.03726365
Region 1,2024-06-03,160000,1.08325032,0.83969029,1197.93786003,99828.15500284,671.74472089,83968.09011141,182.33493657,36466.98731478,28394.55303032
Region 1,2024-06-10,160000,1.01193929,0.99343961,719.48251864,59956.87655364,1651.52448333,206440.56041670,2347.25208087,469450.41617313,27347.66060273
Region 1,2024-06-17,160000,1.08485048,0.99711696,273.25788776,22771.49064659,481.48982105,60186.22763168,866.23326705,173246.65340917,26424.26192610
Region 1,2024-06-24,160000,1.06364453,0.97982197,1858.26147375,154855.12281285,794.41911595,99302.38949356,1709.72132517,341944.26503427,27341.66203092
Region 1,2024-07-01,160000,1.02447290,1.02460220,145.94332241,12161.94353456,297.87189516,37233.98689491,3304.19394211,660838.78842228,25257.20822410
Region 1,2024-07-08,160000,1.02247266,0.92193952,213.54177057,17795.14754757,944.86300115,118107.87514336,1978.07369564,395614.73912860,26576.46069223
Region 1,2024-07-15,160000,1.06275834,1.01441422,786.08223785,65506.85315438,2078.04019481,259755.02435130,644.43112047,128886.22409455,27938.21865663
Region 1,2024-07-22,160000,0.97809921,1.04888797,674.63235839,56219.36319879,592.54216696,74067.77087044,594.94239830,118988.47966039,26158.40675438
Region 1,2024-07-29,160000,0.92454945,0.92167584,464.71391838,38726.15986489,747.80085415,93475.10676828,253.40191598,50680.38319610,26372.97374053
